# Frame 1:
2.134893224926225422e-02 1.404247545847628993e-03 9.843447567201842052e-02
6.462309183777040960e-04 1.799097366083716662e-02 9.946391822124883708e-01
7.630023063342646129e-06 7.381734796938699275e-07 1.488991541503494054e-02
# Frame 102:
2.153575284870029583e-02 1.608498368321416858e-03 4.313496844981915684e-02
6.552490809106213026e-04 1.819756934194912898e-02 9.985574382184951858e-01
7.682498371723393081e-06 9.639062997773698623e-07 1.498199640651557904e-02
# Frame 103:
2.172093283113163409e-02 1.637030965505973604e-03 3.627804545139125952e-02
6.733655871377851017e-04 1.838143347484539822e-02 9.988213255496911636e-01
7.824333126535613537e-06 1.043404581729317636e-06 1.506830023045238262e-02
# Frame 104:
2.153324349275028207e-02 1.537512844743546374e-03 4.672303662761566334e-02
6.583173137951660184e-04 1.814651657930940049e-02 9.983973838762266739e-01
7.772482771975017918e-06 8.104216004948467136e-07 1.496154034910258078e-02
# Frame 105:
2.158142930725701417e-02 1.597194926190634951e-03 3.861948448842693338e-02
6.331793708719793846e-04 1.825735842433360775e-02 9.987401563107132230e-01
7.754178795692570207e-06 9.738177103064471753e-07 1.498647236336980715e-02
# Frame 106:
2.189742348915456674e-02 1.624952527870928863e-03 3.624619595898606605e-02
6.818072105449126535e-04 1.851960783395654661e-02 9.988143797704061022e-01
7.917845109312431355e-06 9.747076397278541768e-07 1.518122581161421465e-02
# Frame 107:
2.181084431688366104e-02 1.655674919089279284e-03 2.825310100507190392e-02
6.729118394678489622e-04 1.842713660251539196e-02 9.990768986010730712e-01
7.876125427914552359e-06 9.838149900601172789e-07 1.512106276995825969e-02
# Frame 108:
2.164732028965565477e-02 1.583941818720767131e-03 3.860148945547036553e-02
6.629975551806921311e-04 1.824590705650122255e-02 9.987388407310832106e-01
7.798277990210751473e-06 8.304166703333213725e-07 1.503944573339151963e-02
# Frame 109:
2.182013738388321328e-02 1.615349439715921742e-03 3.769135713645229563e-02
6.809983575928879596e-04 1.839974979434928076e-02 9.987656036588434816e-01
7.892121243436267159e-06 9.327738569474423692e-07 1.512905091276141138e-02
# Frame 110:
2.185590961307417451e-02 1.659694293344464791e-03 2.728183835722180692e-02
6.796501730346953636e-04 1.843880584508672885e-02 9.991024573996803992e-01
7.915615384910909370e-06 9.748002755257802556e-07 1.513585130247041034e-02
# Frame 111:
2.173373736957804822e-02 1.601085552342729635e-03 3.598562305382118492e-02
6.654325516917201748e-04 1.833478293654605684e-02 9.988322878033591978e-01
7.822348036317980217e-06 9.270229574832709737e-07 1.508541786231262782e-02
# Frame 112:
2.153204549912905025e-02 1.510744172991725824e-03 4.724683842143184015e-02
6.442232599282036098e-04 1.812697725170264035e-02 9.983726321710467699e-01
7.681546715775158186e-06 6.933917729122587321e-07 1.499699544320330473e-02
# Frame 113:
2.194621867296050327e-02 1.619656842460636325e-03 3.464206260636974732e-02
6.928295133582085394e-04 1.848445511135524133e-02 9.988705385509802914e-01
7.961166536501598358e-06 8.539010481532880617e-07 1.520393874342888460e-02
# Frame 114:
2.157974604075795638e-02 1.620632119939799951e-03 2.856293984154402443e-02
6.526786860358664219e-04 1.815273467755459946e-02 9.990806288517353195e-01
7.761229939057080477e-06 9.377405241321950289e-07 1.495980635971535209e-02
# Frame 115:
2.191980133830572636e-02 1.626306357382065887e-03 3.759124415550231524e-02
7.036123797654766053e-04 1.845226301906208524e-02 9.987653592678420456e-01
7.930996309195685804e-06 9.365781843552196940e-07 1.518393169299741240e-02
# Frame 116:
-2.202673591789815200e-02 -1.660229099163765785e-03 -2.970374021698620262e-02
-7.125020525475423295e-04 -1.853919577398464857e-02 -9.990261148948139658e-01
-7.998672652363905333e-06 -9.378834279597206971e-07 -1.524357620305734004e-02
# Frame 117:
2.215158270251254766e-02 1.666862457539291251e-03 2.091627008699211560e-02
7.039097941930092753e-04 1.865468573950138792e-02 9.992437411107777390e-01
8.174321004034929296e-06 9.880953422614921514e-07 1.524767500547311375e-02
# Frame 118:
2.192119170836366940e-02 1.643040455663226027e-03 3.335399773531846218e-02
6.856691602971002166e-04 1.848295781650820951e-02 9.989151761487622405e-01
7.936161840277231334e-06 9.273258501369858344e-07 1.518728189041721952e-02
# Frame 119:
2.207263585870669620e-02 1.650331557859727053e-03 3.214389739006170976e-02
